apartment_id,price_usd,total_area,living_area,kitchen_area,floor,floors_count,rooms_count,district,wall_type,latitude,longitude
34141910,120000,70.0,41.7,8.5,3,9,3,Виноградарь,панель,50.51246235,30.42222757
34141876,75000,53.88,17.09,24.64,20,25,1,Днепровский,кирпич,50.46830076,30.611312
33264794,285000,123.0,75.0,13.0,6,25,3,Саперное Поле,кирпич,50.4273892,30.53279559
33732472,125000,53.3,21.0,18.0,1,26,1,Зверинец,монолитно-каркасный,50.40509686,30.5529998
34141889,119000,40.0,21.1,7.4,12,24,1,Подольский,керамический блок,50.48550504,30.41228772
34141792,240000,81.0,35.0,15.0,6,12,2,Новое строение,кирпич,50.42365749,30.51654266
34141649,158000,56.0,20.0,25.0,12,26,1,Дарницкий,монолитно-каркасный,50.39505869,30.60481019
34141673,165000,87.0,58.0,15.0,21,25,3,Осокорки,кирпич,50.39261407,30.61342765
34141700,350000,62.0,38.0,20.0,4,16,3,Паньковщина,кирпич,50.43480563,30.50852695
34141726,290000,81.0,30.0,30.0,8,25,3,Солдатская Слободка,монолитно-каркасный,50.45155682,30.48740356
34141775,490000,110.0,45.0,28.0,2,23,3,Саперное Поле,кирпич,50.42051738,30.53054827
34141793,280000,82.0,45.0,18.0,14,24,3,Черная Гора,монолитно-каркасный,50.4100752,30.54653482
34141853,245000,95.0,55.0,15.0,4,11,3,Зверинец,кирпич,50.4127336,30.55057156
34141866,320000,123.0,93.0,20.0,4,8,4,Старый Киев,кирпич,50.44878932,30.51927487
34141878,119000,41.0,14.0,19.0,16,21,1,Голосеев,монолитно-каркасный,50.39550051,30.47400017
34141865,118000,41.1,14.0,15.4,5,21,1,Голосеев,железобетон,50.39544385,30.4732346
34140817,53000,61.0,32.1,11.3,5,5,3,Воскресенка,панель,50.48068239,30.59711487
34141815,70000,39.0,15.3,12.2,7,25,1,Оболонский,кирпич,50.48509,30.53276
34141814,55900,39.0,18.0,11.0,9,26,1,Голосеевский,кирпич,50.36100044,30.4419517
34141846,119000,43.2,14.36,23.0,18,25,1,Виноградарь,газоблок,50.49966595,30.42228795
34127797,149000,93.8,56.6,18.0,2,3,3,Зверинец,кирпич,50.41733777,30.54988638
34141797,128000,53.0,27.9,7.0,4,7,2,Голосеевский,кирпич,50.41975863,30.52172943
34141834,117000,91.0,43.8,14.0,3,16,3,Виноградарь,панель,50.50989994,30.41775446
34141818,116700,46.0,15.0,23.0,24,25,1,Виноградарь,газоблок,50.50007899,30.42089114
34141600,210000,76.0,40.0,8.5,2,25,3,Печерск,кирпич,50.42471939,30.5345154
34121813,505000,110.0,70.0,25.0,2,23,2,Саперное Поле,кирпич,50.42049484190071,30.530430981965367
34141774,64000,80.0,42.1,20.0,26,26,2,Дарницкий,кирпич,50.39098599,30.62539246
34141773,80000,35.0,18.4,12.0,3,26,1,Дарницкий,монолит,50.39125766,30.64741398
34141766,112900,70.0,38.0,8.0,4,10,3,Оболонский,кирпич,50.51402608,30.49609793
34141765,142000,67.19,35.4,13.1,4,9,2,Оболонский,кирпич,50.50790391,30.5107051
34141771,157000,74.0,39.0,20.0,9,9,2,Оболонский,кирпич,50.51301103,30.50139316
34141770,52980,32.0,16.9,6.0,8,9,1,Голосеевский,панель,50.3796246,30.45683984
34141764,71000,39.8,21.0,7.9,23,26,1,Дарницкий,монолит,50.39125766,30.64741398
34141772,120000,74.0,58.0,9.0,1,12,3,Оболонский,кирпич,50.51341315,30.50540331
34141768,85000,39.0,20.5,12.4,22,26,1,Дарницкий,кирпич,50.40521901,30.66978368
34141769,85000,43.5,22.9,11.5,12,25,1,Дарницкий,монолит,50.41506992,30.62974059
34141767,95000,64.5,34.0,7.2,2,9,3,Оболонский,панель,50.50147525,30.50494132
34141806,116000,90.5,45.8,14.0,19,25,3,Позняки,керамзитобетон,50.40952823,30.61849274
34141746,75000,72.3,41.6,9.1,4,9,3,Троещина,панель,50.50767809,30.5881476
34141791,115000,44.0,12.0,21.0,1,9,1,Феофания,газоблок,50.34183856,30.47740744
34141744,68000,62.0,32.7,7.0,8,9,3,Воскресенка,панель,50.49343177,30.59851246
34141743,85000,54.0,28.4,11.0,5,5,2,Лукьяновка,кирпич,50.47041982,30.47560683
34141740,76000,44.0,23.2,17.0,16,18,1,Виноградарь,монолитно-каркасный,50.50237874,30.41155489
34141780,113000,43.0,12.29,22.0,15,25,1,Подольский,газоблок,50.50237874,30.41155489
34137646,595000,184.0,110.0,36.0,28,30,5,Зверинец,монолитно-кирпичный,50.41092106,30.54663304
34141733,199000,110.0,57.9,20.4,22,25,3,Сырец,монолитно-каркасный,50.47164331,30.43480857
34141723,125000,61.0,23.0,11.0,5,26,1,Соломенский,кирпич,50.45242042,30.44704166
34137647,595000,184.0,120.0,15.0,28,30,5,Черная Гора,монолитно-кирпичный,50.41092579153553,30.546623686340126
34141756,110000,98.6,45.8,16.0,1,22,3,Позняки,панель,50.41469146,30.63433393
34139759,595000,184.0,100.0,30.0,28,30,5,Черная Гора,монолит,50.41092106,30.54663304
34118118,135000,64.0,46.0,6.0,5,9,3,Черепанова гора,кирпич,50.43504692,30.50935529
34141638,83000,69.0,31.0,15.0,3,4,2,Оболонский,керамический блок,50.5427009,30.49290571
34141684,80000,59.1,40.8,6.8,2,9,3,Минский Массив,панель,50.51946248,30.45905247
34141683,95000,66.0,34.8,10.0,13,25,2,Троещина,монолитно-каркасный,50.52634445,30.62077232
34141362,201400,106.0,58.3,17.4,6,23,3,Зверинец,кирпич,50.404931125383,30.55427405188
34139926,120000,77.0,28.3,21.8,10,26,2,Подольский,газоблок,50.50436413,30.41098881
34140161,42000,36.0,18.9,7.2,9,9,1,Троещина,кирпич,50.53029695,30.61568466
34141671,170000,50.0,15.0,20.0,7,20,1,Соломянка,кирпич,50.43463271,30.48570613
34141687,145000,48.0,25.3,8.9,14,25,1,,,50.41759,30.52916
34141641,148000,63.0,29.5,16.0,9,9,2,Соломенский,монолит,50.39838921,30.47047563
34141669,125000,64.4,18.2,28.6,4,6,1,Голосеевский,монолитно-каркасный,50.37088181,30.55130372
34141653,185000,56.0,30.0,8.0,14,23,1,Татарка,газоблок,50.46349882,30.50306079
34141624,170000,85.0,50.0,15.0,3,24,2,Демеевка,монолитно-каркасный,50.40037302,30.52042086
34137617,330000,235.6,125.8,19.9,14,16,6,Теремки-2,кирпич,50.38878624,30.46492173
34141512,119500,67.1,28.0,17.8,8,17,2,Виноградарь,пеноблок,50.50089635,30.42261922
34138266,86000,45.0,10.0,12.0,2,5,1,Сырец,монолитный железобетон,50.48080354,30.42908939
34138267,86000,46.0,10.0,12.0,3,5,1,Сырец,монолитный железобетон,50.48080354,30.42908939
34141557,113000,98.0,52.0,12.0,20,22,3,Троещина,панель,50.53101709,30.62704865
34141594,160000,45.0,18.0,8.0,10,21,1,Саперное Поле,кирпич,50.41500125,30.52603614
34141586,95000,32.0,24.0,3.5,1,14,1,Старый Киев,кирпич,50.4551142,30.51338345
34141584,195000,110.0,60.0,30.0,12,26,3,Голосеев,газоблок,50.38325378,30.48545375
34140841,90000,70.0,45.0,8.4,2,5,3,Соломенский,кирпич,50.42699555,30.46199782
34141589,165000,68.1,27.8,11.9,2,16,2,Соломенский,монолит,50.43504861,30.40490534
34141575,154900,42.0,10.0,21.0,5,26,1,Дарницкий,монолит,50.41389284,30.5992752
34141578,170000,77.8,43.9,13.7,21,26,2,Соломянка,монолит,50.43101351,30.47787765
34141562,195000,72.0,40.0,12.0,2,19,2,Оболонь,кирпич,50.51364331,30.50392034
34141561,165000,85.0,37.0,10.0,4,9,2,Паньковщина,,50.43523641,30.50714782
34141545,164000,62.8,48.0,12.0,7,8,2,Липки,кирпич,50.43991561,30.52420085
34135748,850000,213.0,178.0,23.0,3,4,4,Зверинец,,50.4219601,30.5596206
34135881,905000,237.0,168.0,22.0,2,4,4,Зверинец,,50.4219601,30.5596206
34135941,950000,211.0,167.0,21.0,1,4,4,Зверинец,,50.4219601,30.5596206
34141481,118000,67.9,38.6,10.6,2,25,2,Новая Дарница,газоблок,50.42573877,30.6517385
34141440,59500,60.1,38.2,7.9,8,9,3,Лесной Массив,панель,50.46822,30.631489
34141514,160000,82.0,40.0,22.0,6,11,2,Турецкий городок,кирпич,50.41454964,30.46484265
34141484,129500,65.0,34.2,18.0,4,9,2,Голосеевский,кирпич,50.35082525,30.47732755
